title,rating,year,runtime,runtime_minutes
The Shawshank Redemption,9.3,1994,2h 22m,142
The Godfather,9.2,1972,2h 55m,175
The Dark Knight,9.0,2008,2h 32m,152
The Godfather Part II,9.0,1974,3h 22m,202
12 Angry Men,9.0,1957,1h 36m,96
Schindler's List,9.0,1993,3h 15m,195
The Lord of the Rings: The Return of the King,9.0,2003,3h 21m,201
Pulp Fiction,8.9,1994,2h 34m,154
The Lord of the Rings: The Fellowship of the Ring,8.8,2001,2h 58m,178
"The Good, the Bad and the Ugly",8.8,1966,2h 58m,178
Forrest Gump,8.8,1994,2h 22m,142
Fight Club,8.8,1999,2h 19m,139
The Lord of the Rings: The Two Towers,8.8,2002,2h 59m,179
Inception,8.8,2010,2h 28m,148
Star Wars: Episode V - The Empire Strikes Back,8.7,1980,2h 4m,124
The Matrix,8.7,1999,2h 16m,136
Goodfellas,8.7,1990,2h 25m,145
One Flew Over the Cuckoo's Nest,8.7,1975,2h 13m,133
Se7en,8.6,1995,2h 7m,127
Interstellar,8.6,2014,2h 49m,169
It's a Wonderful Life,8.6,1946,2h 10m,130
Seven Samurai,8.6,1954,3h 27m,207
The Silence of the Lambs,8.6,1991,1h 58m,118
Saving Private Ryan,8.6,1998,2h 49m,169
City of God,8.6,2002,2h 10m,130
Life Is Beautiful,8.6,1997,1h 56m,116
The Green Mile,8.6,1999,3h 9m,189
Star Wars: Episode IV - A New Hope,8.6,1977,2h 1m,121
Terminator 2: Judgment Day,8.6,1991,2h 17m,137
Back to the Future,8.5,1985,1h 56m,116
Spirited Away,8.5,2001,2h 5m,125
The Pianist,8.5,2002,2h 30m,150
Spider-Man: Across the Spider-Verse,8.6,2023,2h 20m,140
Psycho,8.5,1960,1h 49m,109
Parasite,8.5,2019,2h 12m,132
Gladiator,8.5,2000,2h 35m,155
The Lion King,8.5,1994,1h 28m,88
Léon: The Professional,8.5,1994,1h 50m,110
The Departed,8.5,2006,2h 31m,151
Whiplash,8.5,2014,1h 46m,106
American History X,8.5,1998,1h 59m,119
The Prestige,8.5,2006,2h 10m,130
The Usual Suspects,8.5,1995,1h 46m,106
Casablanca,8.5,1942,1h 42m,102
Grave of the Fireflies,8.5,1988,1h 29m,89
Harakiri,8.6,1962,2h 13m,133
Intouchables,8.5,2011,1h 52m,112
Modern Times,8.5,1936,1h 27m,87
Once Upon a Time in the West,8.5,1968,2h 46m,166
Rear Window,8.5,1954,1h 52m,112
